type,src,dst,status
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101331E/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101331E/ses-03/info/E3101331E_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101331E/ses-03/info/E3101331E_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101331E/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100863L/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100863L/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100863L/ses-03/info/E3100863L_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100863L/ses-03/info/E3100863L_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100863L/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100862B/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100862B/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100862B/ses-03/info/E3100862B_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100862B/ses-03/info/E3100862B_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100862B/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100861D/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100861D/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100861D/ses-03/info/E3100861D_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100861D/ses-03/info/E3100861D_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100861D/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100971A/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100971A/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100971A/ses-03/info/E3100971A_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100971A/ses-03/info/E3100971A_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100971A/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100972K/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100972K/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100972K/ses-03/info/E3100972K_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100972K/ses-03/info/E3100972K_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100972K/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101093A/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101093A/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101093A/ses-03/info/E3101093A_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101093A/ses-03/info/E3101093A_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101093A/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101094K/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101094K/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101094K/ses-03/info/E3101094K_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101094K/ses-03/info/E3101094K_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101094K/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101095I/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101095I/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101095I/ses-03/info/E3101095I_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101095I/ses-03/info/E3101095I_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101095I/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101096F/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101096F/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101096F/ses-03/info/E3101096F_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101096F/ses-03/info/E3101096F_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101096F/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101463H/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101463H/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101463H/ses-03/info/E3101463H_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101463H/ses-03/info/E3101463H_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101463H/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101461L/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101461L/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101461L/ses-03/info/E3101461L_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101461L/ses-03/info/E3101461L_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101461L/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101241F/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101241F/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101241F/ses-03/info/E3101241F_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101241F/ses-03/info/E3101241F_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101241F/ses-03/info/filegroup_ses-03.json,,no-change
